Year,Quarter,Region,Total_Enrollment,Telehealth_Users,Telehealth_Rate
2020,Overall,Alabama,504096.33333,206967.0,0.4204
2020,Overall,Alaska,90235.25,38164.0,0.4774
2020,Overall,Arizona,683404.66667,330868.0,0.5093
2020,Overall,Arkansas,408027.75,156778.0,0.3966
2020,Overall,California,2937567.8333,1602926.0,0.5969
2020,Overall,Colorado,448799.91667,191989.0,0.4572
2020,Overall,Connecticut,315203.25,181962.0,0.5861
2020,Overall,Delaware,159145.16667,96701.0,0.6162
2020,Overall,District Of Columbia,57945.916667,31743.0,0.5881
2020,Overall,Florida,2120377.4167,1000400.0,0.4817
2020,Overall,Georgia,882774.91667,350406.0,0.4087
2020,Overall,Hawaii,110054.16667,52125.0,0.5131
2020,Overall,Idaho,194966.33333,61565.0,0.3368
2020,Overall,Illinois,1386115.0833,610824.0,0.4574
2020,Overall,Indiana,732557.5,322339.0,0.4491
2020,Overall,Iowa,434031.08333,149052.0,0.3519
2020,Overall,Kansas,385872.91667,117844.0,0.3132
2020,Overall,Kentucky,517771.33333,231808.0,0.4588
2020,Overall,Louisiana,450725.25,188604.0,0.4245
2020,Overall,Maine,177357.5,78285.0,0.4678
2020,Overall,Maryland,777950.41667,440009.0,0.5908
2020,Overall,Massachusetts,852443.91667,577879.0,0.6927
2020,Overall,Michigan,965988.08333,456287.0,0.4871
2020,Overall,Minnesota,460879.83333,225466.0,0.5116
2020,Overall,Mississippi,427175.83333,181157.0,0.4295
2020,Overall,Missouri,655256.66667,225058.0,0.3552
2020,Overall,Montana,171261.5,49185.0,0.3084
2020,Overall,Nebraska,253796.75,69034.0,0.2814
2020,Overall,Nevada,273383.75,110315.0,0.4406
2020,Overall,New Hampshire,207632.25,108006.0,0.5513
2020,Overall,New Jersey,938807.25,509810.0,0.5565
2020,Overall,New Mexico,226952.83333,113745.0,0.545
2020,Overall,New York,1723371.4167,899888.0,0.5355
2020,Overall,North Carolina,1087702.0833,463253.0,0.4355
2020,Overall,North Dakota,96687.666667,24094.0,0.2579
2020,Overall,Ohio,1107520.0,515904.0,0.4751
2020,Overall,Oklahoma,497752.58333,196818.0,0.4073
2020,Overall,Oregon,398617.0,178742.0,0.4894
2020,Overall,Pennsylvania,1311244.4167,648854.0,0.5071
2020,Overall,Puerto Rico,47376.0,15836.0,0.3949
2020,Overall,Rhode Island,93738.333333,59970.0,0.6622
2020,Overall,South Carolina,671168.58333,249151.0,0.3773
2020,Overall,South Dakota,124379.91667,40049.0,0.3383
2020,Overall,Tennessee,700553.5,212110.0,0.3097
2020,Overall,Territories,16553.0,1752.0,0.1452
2020,Overall,Texas,2086648.4167,1010215.0,0.5081
2020,Overall,Utah,210956.33333,81868.0,0.4045
2020,Overall,Vermont,116687.25,61207.0,0.5525
2020,Overall,Virgin Islands,17865.25,4599.0,0.3112
2020,Overall,Virginia,1006405.5,446334.0,0.4559
2020,Overall,Washington,762352.75,299696.0,0.4269
2020,Overall,West Virginia,246102.25,103198.0,0.4388
2020,Overall,Wisconsin,568424.75,217375.0,0.4016
2020,Overall,Wyoming,99242.583333,27754.0,0.3014
2020,Overall,Alabama,150932.91667,56053.0,0.3791
2020,Overall,Alaska,42692.166667,17169.0,0.4535
2020,Overall,Arizona,106532.25,43229.0,0.4417
2020,Overall,Arkansas,186186.33333,66119.0,0.367
2020,Overall,California,328365.16667,162941.0,0.5412
2020,Overall,Colorado,113596.08333,39544.0,0.3789
2020,Overall,Connecticut,13949.916667,7320.0,0.5354
2020,Overall,Delaware,48087.333333,28640.0,0.5964
2020,Overall,Florida,85280.5,32523.0,0.398
2020,Overall,Georgia,185015.91667,67462.0,0.3704
2020,Overall,Hawaii,36560.75,14227.0,0.4274
2020,Overall,Idaho,83485.0,21883.0,0.2848
2020,Overall,Illinois,259403.33333,86460.0,0.3445
2020,Overall,Indiana,211253.66667,82366.0,0.3985
2020,Overall,Iowa,238406.25,73105.0,0.3154
2020,Overall,Kansas,183964.91667,51446.0,0.288
2020,Overall,Kentucky,268913.91667,121369.0,0.464
2020,Overall,Louisiana,105117.91667,44033.0,0.4242
2020,Overall,Maine,100080.91667,42473.0,0.4503
2020,Overall,Maryland,44671.166667,22638.0,0.5162
2020,Overall,Massachusetts,33701.916667,21767.0,0.6678
2020,Overall,Michigan,249132.83333,100221.0,0.4222
2020,Overall,Minnesota,171742.5,66563.0,0.4085
2020,Overall,Mississippi,254065.08333,101031.0,0.4005
2020,Overall,Missouri,244991.83333,69061.0,0.2965
2020,Overall,Montana,116200.5,32779.0,0.3052
2020,Overall,Nebraska,129410.66667,31640.0,0.2531
2020,Overall,Nevada,48114.583333,16280.0,0.3687
2020,Overall,New Hampshire,90970.583333,43433.0,0.5115
2020,Overall,New Jersey,11271.083333,5903.0,0.5468
2020,Overall,New Mexico,96272.0,43432.0,0.4892
2020,Overall,New York,210746.91667,104069.0,0.5082
2020,Overall,North Carolina,335099.0,134744.0,0.4097
2020,Overall,North Dakota,57246.833333,13422.0,0.244
2020,Overall,Ohio,318934.0,141886.0,0.4567
2020,Overall,Oklahoma,242955.16667,89796.0,0.3814
2020,Overall,Oregon,165906.83333,66193.0,0.4383
2020,Overall,Pennsylvania,192924.33333,75553.0,0.4014
2020,Overall,Rhode Island,224.08333333,103.0,0.4858
2020,Overall,South Carolina,126403.0,40660.0,0.3277
2020,Overall,South Dakota,77530.416667,24290.0,0.3298
2020,Overall,Tennessee,239421.66667,66802.0,0.2847
2020,Overall,Texas,419069.91667,174065.0,0.434
2020,Overall,Utah,48921.25,16883.0,0.3655
2020,Overall,Vermont,86710.666667,42380.0,0.5172
2020,Overall,Virginia,185713.5,69747.0,0.3847
2020,Overall,Washington,175676.58333,62331.0,0.3875
2020,Overall,West Virginia,84308.25,31945.0,0.3976
2020,Overall,Wisconsin,217570.5,73082.0,0.3574
2020,Overall,Wyoming,68674.416667,18077.0,0.2855
2020,Overall,Alabama,351944.58333,150453.0,0.4383
2020,Overall,Alaska,44299.5,19780.0,0.5037
2020,Overall,Arizona,575308.75,287125.0,0.5217
2020,Overall,Arkansas,219810.16667,89950.0,0.4221
2020,Overall,California,2606771.9167,1439223.0,0.604
2020,Overall,Colorado,334861.5,152335.0,0.4831
2020,Overall,Connecticut,301145.66667,174612.0,0.5885
2020,Overall,Delaware,110988.91667,68029.0,0.625
2020,Overall,District Of Columbia,57918.583333,31738.0,0.5881
2020,Overall,Florida,2030866.3333,966629.0,0.4853
2020,Overall,Georgia,697011.41667,282688.0,0.4191
2020,Overall,Hawaii,73425.833333,37893.0,0.5549
2020,Overall,Idaho,111446.5,39676.0,0.3746
2020,Overall,Illinois,1126143.5,524190.0,0.4836
2020,Overall,Indiana,520936.58333,239857.0,0.4695
2020,Overall,Iowa,195405.75,75841.0,0.396
2020,Overall,Kansas,201378.66667,66247.0,0.3359
2020,Overall,Kentucky,246719.33333,109419.0,0.4528
2020,Overall,Louisiana,343262.91667,143520.0,0.4244
2020,Overall,Maine,77237.583333,35803.0,0.4903
2020,Overall,Maryland,733119.41667,417337.0,0.5955
2020,Overall,Massachusetts,818434.25,556001.0,0.6937
2020,Overall,Michigan,716564.5,355961.0,0.5092
2020,Overall,Minnesota,288879.08333,158810.0,0.5721
2020,Overall,Mississippi,171150.16667,79284.0,0.4729
2020,Overall,Missouri,410173.25,155971.0,0.3893
2020,Overall,Montana,55043.916667,16403.0,0.3149
2020,Overall,Nebraska,124341.0,37384.0,0.3108
2020,Overall,Nevada,224890.75,93922.0,0.4562
2020,Overall,New Hampshire,116172.66667,64333.0,0.582
2020,Overall,New Jersey,926175.91667,503402.0,0.557
2020,Overall,New Mexico,129972.0,69992.0,0.5869
2020,Overall,New York,1511671.1667,795577.0,0.5393
2020,Overall,North Carolina,751136.0,327896.0,0.4471
2020,Overall,North Dakota,39379.0,10656.0,0.2777
2020,Overall,Ohio,787953.58333,373720.0,0.4825
2020,Overall,Oklahoma,253676.83333,106603.0,0.4321
2020,Overall,Oregon,232647.91667,112540.0,0.5253
2020,Overall,Pennsylvania,1117733.1667,573164.0,0.5254
2020,Overall,Rhode Island,93500.25,59864.0,0.6627
2020,Overall,South Carolina,544378.5,208369.0,0.3888
2020,Overall,South Dakota,46827.833333,15753.0,0.3523
2020,Overall,Tennessee,460286.16667,145065.0,0.3227
2020,Overall,Texas,1664815.3333,835072.0,0.527
2020,Overall,Utah,161985.33333,64980.0,0.416
2020,Overall,Vermont,29612.5,18620.0,0.6534
2020,Overall,Virginia,818876.5,375839.0,0.4721
2020,Overall,Washington,586209.83333,237256.0,0.4387
