year,quarter,region,total_enrollment,telehealth_users,telehealth_rate
2020,Overall,Alabama,504096.3333,206967,0.4204
2020,Overall,Alaska,90235.25,38164,0.4774
2020,Overall,Arizona,683404.6667,330868,0.5093
2020,Overall,Arkansas,408027.75,156778,0.3966
2020,Overall,California,2937567.833,1602926,0.5969
2020,Overall,Colorado,448799.9167,191989,0.4572
2020,Overall,Connecticut,315203.25,181962,0.5861
2020,Overall,Delaware,159145.1667,96701,0.6162
2020,Overall,District Of Columbia,57945.91667,31743,0.5881
2020,Overall,Florida,2120377.417,1000400,0.4817
2020,Overall,Georgia,882774.9167,350406,0.4087
2020,Overall,Hawaii,110054.1667,52125,0.5131
2020,Overall,Idaho,194966.3333,61565,0.3368
2020,Overall,Illinois,1386115.083,610824,0.4574
2020,Overall,Indiana,732557.5,322339,0.4491
2020,Overall,Iowa,434031.0833,149052,0.3519
2020,Overall,Kansas,385872.9167,117844,0.3132
2020,Overall,Kentucky,517771.3333,231808,0.4588
2020,Overall,Louisiana,450725.25,188604,0.4245
2020,Overall,Maine,177357.5,78285,0.4678
2020,Overall,Maryland,777950.4167,440009,0.5908
2020,Overall,Massachusetts,852443.9167,577879,0.6927
2020,Overall,Michigan,965988.0833,456287,0.4871
2020,Overall,Minnesota,460879.8333,225466,0.5116
2020,Overall,Mississippi,427175.8333,181157,0.4295
2020,Overall,Missouri,655256.6667,225058,0.3552
2020,Overall,Montana,171261.5,49185,0.3084
2020,Overall,Nebraska,253796.75,69034,0.2814
2020,Overall,Nevada,273383.75,110315,0.4406
2020,Overall,New Hampshire,207632.25,108006,0.5513
2020,Overall,New Jersey,938807.25,509810,0.5565
2020,Overall,New Mexico,226952.8333,113745,0.545
2020,Overall,New York,1723371.417,899888,0.5355
2020,Overall,North Carolina,1087702.083,463253,0.4355
2020,Overall,North Dakota,96687.66667,24094,0.2579
2020,Overall,Ohio,1107520,515904,0.4751
2020,Overall,Oklahoma,497752.5833,196818,0.4073
2020,Overall,Oregon,398617,178742,0.4894
2020,Overall,Pennsylvania,1311244.417,648854,0.5071
2020,Overall,Puerto Rico,47376,15836,0.3949
2020,Overall,Rhode Island,93738.33333,59970,0.6622
2020,Overall,South Carolina,671168.5833,249151,0.3773
2020,Overall,South Dakota,124379.9167,40049,0.3383
2020,Overall,Tennessee,700553.5,212110,0.3097
2020,Overall,Territories,16553,1752,0.1452
2020,Overall,Texas,2086648.417,1010215,0.5081
2020,Overall,Utah,210956.3333,81868,0.4045
2020,Overall,Vermont,116687.25,61207,0.5525
2020,Overall,Virgin Islands,17865.25,4599,0.3112
2020,Overall,Virginia,1006405.5,446334,0.4559
2020,Overall,Washington,762352.75,299696,0.4269
2020,Overall,West Virginia,246102.25,103198,0.4388
2020,Overall,Wisconsin,568424.75,217375,0.4016
2020,Overall,Wyoming,99242.58333,27754,0.3014
2020,Overall,Alabama,150932.9167,56053,0.3791
2020,Overall,Alaska,42692.16667,17169,0.4535
2020,Overall,Arizona,106532.25,43229,0.4417
2020,Overall,Arkansas,186186.3333,66119,0.367
2020,Overall,California,328365.1667,162941,0.5412
2020,Overall,Colorado,113596.0833,39544,0.3789
2020,Overall,Connecticut,13949.91667,7320,0.5354
2020,Overall,Delaware,48087.33333,28640,0.5964
2020,Overall,Florida,85280.5,32523,0.398
2020,Overall,Georgia,185015.9167,67462,0.3704
2020,Overall,Hawaii,36560.75,14227,0.4274
2020,Overall,Idaho,83485,21883,0.2848
2020,Overall,Illinois,259403.3333,86460,0.3445
2020,Overall,Indiana,211253.6667,82366,0.3985
2020,Overall,Iowa,238406.25,73105,0.3154
2020,Overall,Kansas,183964.9167,51446,0.288
2020,Overall,Kentucky,268913.9167,121369,0.464
2020,Overall,Louisiana,105117.9167,44033,0.4242
2020,Overall,Maine,100080.9167,42473,0.4503
2020,Overall,Maryland,44671.16667,22638,0.5162
2020,Overall,Massachusetts,33701.91667,21767,0.6678
2020,Overall,Michigan,249132.8333,100221,0.4222
2020,Overall,Minnesota,171742.5,66563,0.4085
2020,Overall,Mississippi,254065.0833,101031,0.4005
2020,Overall,Missouri,244991.8333,69061,0.2965
2020,Overall,Montana,116200.5,32779,0.3052
2020,Overall,Nebraska,129410.6667,31640,0.2531
2020,Overall,Nevada,48114.58333,16280,0.3687
2020,Overall,New Hampshire,90970.58333,43433,0.5115
2020,Overall,New Jersey,11271.08333,5903,0.5468
2020,Overall,New Mexico,96272,43432,0.4892
2020,Overall,New York,210746.9167,104069,0.5082
2020,Overall,North Carolina,335099,134744,0.4097
2020,Overall,North Dakota,57246.83333,13422,0.244
2020,Overall,Ohio,318934,141886,0.4567
2020,Overall,Oklahoma,242955.1667,89796,0.3814
2020,Overall,Oregon,165906.8333,66193,0.4383
2020,Overall,Pennsylvania,192924.3333,75553,0.4014
2020,Overall,Rhode Island,224.0833333,103,0.4858
2020,Overall,South Carolina,126403,40660,0.3277
2020,Overall,South Dakota,77530.41667,24290,0.3298
2020,Overall,Tennessee,239421.6667,66802,0.2847
2020,Overall,Texas,419069.9167,174065,0.434
2020,Overall,Utah,48921.25,16883,0.3655
2020,Overall,Vermont,86710.66667,42380,0.5172
2020,Overall,Virginia,185713.5,69747,0.3847
2020,Overall,Washington,175676.5833,62331,0.3875
2020,Overall,West Virginia,84308.25,31945,0.3976
2020,Overall,Wisconsin,217570.5,73082,0.3574
2020,Overall,Wyoming,68674.41667,18077,0.2855
2020,Overall,Alabama,351944.5833,150453,0.4383
2020,Overall,Alaska,44299.5,19780,0.5037
2020,Overall,Arizona,575308.75,287125,0.5217
2020,Overall,Arkansas,219810.1667,89950,0.4221
2020,Overall,California,2606771.917,1439223,0.604
2020,Overall,Colorado,334861.5,152335,0.4831
2020,Overall,Connecticut,301145.6667,174612,0.5885
2020,Overall,Delaware,110988.9167,68029,0.625
2020,Overall,District Of Columbia,57918.58333,31738,0.5881
2020,Overall,Florida,2030866.333,966629,0.4853
2020,Overall,Georgia,697011.4167,282688,0.4191
2020,Overall,Hawaii,73425.83333,37893,0.5549
2020,Overall,Idaho,111446.5,39676,0.3746
